LOCATION_ID,COVID_COUNT,COVID_DEATHS,COVID_TEST,COUNTY_NAME
18001,3376,52,12828,Adams
18003,38926,670,172721,Allen
18005,7854,153,40731,Bartholomew
18007,962,13,4649,Benton
18009,1328,31,5823,Blackford
18011,6524,100,34238,Boone
18013,996,40,4344,Brown
18015,1856,20,7909,Carroll
18017,5671,102,20220,Cass
18019,12657,190,58572,Clark
18021,2522,44,11655,Clay
18023,4160,53,18654,Clinton
18025,970,14,4773,Crawford
18027,2888,99,11959,Daviess
18029,5680,75,22868,Dearborn
18031,2785,92,12132,Decatur
18033,4066,84,17187,De Kalb
18035,10312,184,52972,Delaware
18037,6071,117,20116,Dubois
18039,27117,431,106156,Elkhart
18041,2770,62,11123,Fayette
18043,7542,176,37928,Floyd
18045,2077,45,8023,Fountain
18047,1654,35,6569,Franklin
18049,1908,39,8937,Fulton
18051,4273,89,14698,Gibson
18053,6773,170,29935,Grant
18055,2703,85,13474,Greene
18057,34288,404,193526,Hamilton
18059,7939,139,41236,Hancock
18061,4265,70,19075,Harrison
18063,16735,310,77903,Hendricks
18065,5563,100,22443,Henry
18067,9617,211,46272,Howard
18069,3769,80,18793,Huntington
18071,4923,69,18561,Jackson
18073,3461,46,15455,Jasper
18075,1855,29,7658,Jay
18077,3115,79,15630,Jefferson
18079,2246,47,10573,Jennings
18081,17451,374,81924,Johnson
18083,3653,89,14413,Knox
18085,9068,113,38150,Kosciusko
18087,2514,70,8161,Lagrange
18089,51222,940,234725,Lake
18091,10800,204,54655,La Porte
18093,4332,118,18166,Lawrence
18095,12302,337,60033,Madison
18097,95969,1716,500949,Marion
18099,5753,108,24756,Marshall
18101,824,15,3845,Martin
18103,3714,65,17232,Miami
18105,11385,166,83992,Monroe
18107,4164,86,18131,Montgomery
18109,6370,138,30194,Morgan
18111,1029,34,4380,Newton
18113,5379,83,22876,Noble
18115,555,11,2495,Ohio
18117,1765,53,7822,Orange
18119,1918,56,11137,Owen
18121,1438,16,6970,Parke
18123,1795,36,8597,Perry
18125,1301,34,5130,Pike
18127,17206,297,79086,Porter
18129,2683,33,10505,Posey
18131,1131,45,5234,Pulaski
18133,3519,60,17697,Putnam
18135,2344,80,10528,Randolph
18137,3333,68,13687,Ripley
18139,1703,24,8121,Rush
18141,33770,539,164193,St. Joseph
18143,2605,53,11852,Scott
18145,4777,95,19209,Shelby
18147,2274,31,8253,Spencer
18149,2019,52,9134,Starke
18151,3626,57,14251,Steuben
18153,2073,42,8891,Sullivan
18155,769,8,3965,Switzerland
18157,21671,212,111773,Tippecanoe
18159,1609,43,6846,Tipton
18161,696,10,3285,Union
18163,22034,393,97983,Vanderburgh
18165,1657,43,7197,Vermillion
18167,12155,244,55771,Vigo
18169,3466,77,14793,Wabash
18171,789,15,2706,Warren
18173,7675,155,31924,Warrick
18175,2304,31,10335,Washington
18177,6880,198,32995,Wayne
18179,2851,80,11844,Wells
18181,3073,54,12638,White
18183,3755,39,14651,Whitley
