COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
18001,0.136,0.047,0.16,0.348,0.309
18003,0.07,0.14,0.099,0.228,0.464
18005,0.138,0.084,0.085,0.286,0.406
18007,0.082,0.126,0.112,0.183,0.496
18009,0.093,0.152,0.106,0.203,0.447
18011,0.052,0.085,0.142,0.308,0.413
18013,0.055,0.061,0.041,0.184,0.66
18015,0.059,0.104,0.17,0.22,0.447
18017,0.037,0.192,0.283,0.206,0.283
18019,0.068,0.06,0.141,0.228,0.501
18021,0.122,0.073,0.112,0.226,0.466
18023,0.088,0.033,0.132,0.285,0.462
18025,0.067,0.089,0.118,0.261,0.465
18027,0.049,0.061,0.13,0.214,0.546
18029,0.083,0.1,0.168,0.277,0.371
18031,0.175,0.083,0.101,0.204,0.437
18033,0.109,0.074,0.118,0.149,0.55
18035,0.095,0.109,0.124,0.197,0.475
18037,0.01,0.105,0.086,0.25,0.55
18039,0.03,0.097,0.094,0.252,0.528
18041,0.161,0.041,0.048,0.237,0.514
18043,0.053,0.086,0.154,0.233,0.474
18045,0.077,0.089,0.147,0.212,0.474
18047,0.07,0.082,0.104,0.199,0.545
18049,0.142,0.114,0.128,0.217,0.399
18051,0.09,0.1,0.204,0.255,0.351
18053,0.053,0.108,0.133,0.311,0.393
18055,0.099,0.027,0.081,0.235,0.558
18057,0.07,0.051,0.049,0.234,0.596
18059,0.068,0.04,0.166,0.306,0.42
18061,0.094,0.084,0.205,0.258,0.359
18063,0.054,0.052,0.113,0.257,0.523
18065,0.183,0.148,0.125,0.111,0.434
18067,0.008,0.083,0.183,0.301,0.426
18069,0.15,0.182,0.053,0.199,0.416
18071,0.097,0.098,0.105,0.388,0.312
18073,0.186,0.1,0.065,0.328,0.321
18075,0.141,0.139,0.157,0.235,0.328
18077,0.083,0.219,0.218,0.225,0.255
18079,0.095,0.105,0.172,0.308,0.319
18081,0.057,0.094,0.1,0.192,0.557
18083,0.158,0.125,0.121,0.259,0.338
18085,0.073,0.147,0.089,0.195,0.496
18087,0.059,0.082,0.171,0.236,0.452
18089,0.043,0.057,0.088,0.219,0.592
18091,0.084,0.075,0.168,0.206,0.466
18093,0.092,0.117,0.109,0.191,0.491
18095,0.062,0.084,0.15,0.145,0.559
18097,0.051,0.053,0.116,0.232,0.548
18099,0.12,0.103,0.159,0.229,0.389
18101,0.041,0.064,0.123,0.223,0.55
18103,0.054,0.125,0.253,0.226,0.343
18105,0.037,0.037,0.094,0.242,0.591
18107,0.07,0.116,0.168,0.156,0.49
18109,0.06,0.131,0.136,0.188,0.485
18111,0.102,0.153,0.092,0.338,0.316
18113,0.057,0.11,0.135,0.197,0.5
18115,0.06,0.078,0.18,0.223,0.459
18117,0.096,0.086,0.073,0.315,0.43
18119,0.094,0.038,0.087,0.282,0.5
18121,0.116,0.111,0.174,0.195,0.405
18123,0.01,0.109,0.087,0.252,0.542
18125,0.052,0.089,0.163,0.2,0.495
18127,0.05,0.1,0.108,0.231,0.512
18129,0.132,0.056,0.115,0.226,0.472
18131,0.135,0.219,0.171,0.253,0.223
18133,0.075,0.162,0.204,0.194,0.366
18135,0.128,0.13,0.228,0.179,0.336
18137,0.054,0.074,0.15,0.294,0.429
18139,0.133,0.118,0.063,0.279,0.408
18141,0.031,0.04,0.102,0.228,0.598
18143,0.036,0.073,0.168,0.263,0.46
18145,0.16,0.057,0.177,0.193,0.413
18147,0.017,0.134,0.104,0.216,0.529
18149,0.177,0.151,0.088,0.219,0.365
18151,0.04,0.089,0.17,0.169,0.532
18153,0.127,0.071,0.077,0.207,0.517
18155,0.089,0.125,0.209,0.234,0.344
18157,0.093,0.083,0.102,0.204,0.518
18159,0.033,0.082,0.089,0.444,0.352
18161,0.095,0.053,0.106,0.178,0.569
18163,0.07,0.039,0.115,0.234,0.542
18165,0.113,0.105,0.134,0.223,0.426
18167,0.118,0.064,0.102,0.25,0.466
18169,0.07,0.11,0.237,0.202,0.381
18171,0.079,0.115,0.092,0.223,0.492
18173,0.045,0.038,0.117,0.252,0.548
18175,0.097,0.074,0.062,0.356,0.411
18177,0.162,0.09,0.138,0.261,0.348
18179,0.205,0.05,0.077,0.337,0.332
18181,0.056,0.177,0.194,0.189,0.384
18183,0.061,0.186,0.132,0.16,0.46
