county,FIPS,office,candidate,party,candidatevotes,totalvotes
Adams,18001,President,Hillary Clinton,democrat,2805,13090
Adams,18001,President,Donald Trump,republican,9648,13090
Adams,18001,President,Other,NA,637,13090
Allen,18003,President,Hillary Clinton,democrat,55382,147137
Allen,18003,President,Donald Trump,republican,83930,147137
Allen,18003,President,Other,NA,7825,147137
Bartholomew,18005,President,Hillary Clinton,democrat,9841,32490
Bartholomew,18005,President,Donald Trump,republican,20640,32490
Bartholomew,18005,President,Other,NA,2009,32490
Benton,18007,President,Hillary Clinton,democrat,860,3666
Benton,18007,President,Donald Trump,republican,2579,3666
Benton,18007,President,Other,NA,227,3666
Blackford,18009,President,Hillary Clinton,democrat,1243,4839
Blackford,18009,President,Donald Trump,republican,3350,4839
Blackford,18009,President,Other,NA,246,4839
Boone,18011,President,Hillary Clinton,democrat,10181,32178
Boone,18011,President,Donald Trump,republican,19654,32178
Boone,18011,President,Other,NA,2343,32178
Brown,18013,President,Hillary Clinton,democrat,2518,7945
Brown,18013,President,Donald Trump,republican,5016,7945
Brown,18013,President,Other,NA,411,7945
Carroll,18015,President,Hillary Clinton,democrat,1892,8643
Carroll,18015,President,Donald Trump,republican,6273,8643
Carroll,18015,President,Other,NA,478,8643
Cass,18017,President,Hillary Clinton,democrat,3759,14209
Cass,18017,President,Donald Trump,republican,9701,14209
Cass,18017,President,Other,NA,749,14209
Clark,18019,President,Hillary Clinton,democrat,18808,51147
Clark,18019,President,Donald Trump,republican,30035,51147
Clark,18019,President,Other,NA,2304,51147
Clay,18021,President,Hillary Clinton,democrat,2306,11282
Clay,18021,President,Donald Trump,republican,8531,11282
Clay,18021,President,Other,NA,445,11282
Clinton,18023,President,Hillary Clinton,democrat,2819,11936
Clinton,18023,President,Donald Trump,republican,8531,11936
Clinton,18023,President,Other,NA,586,11936
Crawford,18025,President,Hillary Clinton,democrat,1323,4593
Crawford,18025,President,Donald Trump,republican,3015,4593
Crawford,18025,President,Other,NA,255,4593
Daviess,18027,President,Hillary Clinton,democrat,1800,10768
Daviess,18027,President,Donald Trump,republican,8545,10768
Daviess,18027,President,Other,NA,423,10768
Dearborn,18029,President,Hillary Clinton,democrat,4883,23987
Dearborn,18029,President,Donald Trump,republican,18113,23987
Dearborn,18029,President,Other,NA,991,23987
Decatur,18031,President,Hillary Clinton,democrat,2121,11127
Decatur,18031,President,Donald Trump,republican,8490,11127
Decatur,18031,President,Other,NA,516,11127
DeKalb,18033,President,Hillary Clinton,democrat,3942,16902
DeKalb,18033,President,Donald Trump,republican,12054,16902
DeKalb,18033,President,Other,NA,906,16902
Delaware,18035,President,Hillary Clinton,democrat,18153,45123
Delaware,18035,President,Donald Trump,republican,24263,45123
Delaware,18035,President,Other,NA,2707,45123
Dubois,18037,President,Hillary Clinton,democrat,5389,19984
Dubois,18037,President,Donald Trump,republican,13365,19984
Dubois,18037,President,Other,NA,1230,19984
Elkhart,18039,President,Hillary Clinton,democrat,20740,65630
Elkhart,18039,President,Donald Trump,republican,41867,65630
Elkhart,18039,President,Other,NA,3023,65630
Fayette,18041,President,Hillary Clinton,democrat,2252,9530
Fayette,18041,President,Donald Trump,republican,6839,9530
Fayette,18041,President,Other,NA,439,9530
Floyd,18043,President,Hillary Clinton,democrat,13945,37425
Floyd,18043,President,Donald Trump,republican,21432,37425
Floyd,18043,President,Other,NA,2048,37425
Fountain,18045,President,Hillary Clinton,democrat,1476,7492
Fountain,18045,President,Donald Trump,republican,5662,7492
Fountain,18045,President,Other,NA,354,7492
Franklin,18047,President,Hillary Clinton,democrat,1969,11013
Franklin,18047,President,Donald Trump,republican,8669,11013
Franklin,18047,President,Other,NA,375,11013
Fulton,18049,President,Hillary Clinton,democrat,1960,8374
Fulton,18049,President,Donald Trump,republican,6010,8374
Fulton,18049,President,Other,NA,404,8374
